featurekey,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
ABCC6,0.013433164487471796,0.41998936151180133,0.9420548991568424,0.44582259684409054,0.6557253976703568,
ABCC6P1-ENSG00000256340,0.0,,,,,
ABCC6P2-ENSG00000255277,0.0,,,,,
ABCC8,0.000737960092309462,0.5561378811921248,2.9312822640846345,0.18972512064299363,0.8495245348994775,
ABCC9,0.024526416739664974,0.3393362438673577,2.1253459460441957,0.15966165155322032,0.873147610923311,
ABCD1,2.006126372228361,-0.5399150497931903,0.06535529240855063,-8.26122919652872,1.4417993678928225e-16,4.1218598118128847e-16
ABCD1P2,0.0,,,,,
ABCD1P3,0.0,,,,,
ABCD1P4,0.0,,,,,
ABCD1P5,0.0,,,,,
ABCD2,0.8536626317977509,-0.8314628200686006,0.13328611418761063,-6.238180362121231,4.4269007266679886e-10,9.66131750044001e-10
ABCD3,5.975450047851209,-0.4016651702156822,0.04233254686098361,-9.488329902160519,2.3476527097439673e-21,8.40815064385012e-21
ABCD4,10.063617997024465,0.007242008638895173,0.027973591504604968,0.25888733799887675,0.7957221680354909,0.8339068905166431
ABCE1,10.103682251950659,-0.23116308806777366,0.03258060487276183,-7.095113456933748,1.2924540983139179e-12,3.141340114160087e-12
ABCF1,28.118111806197373,-0.037541751441790866,0.020750965501576808,-1.809156852915503,0.07042663866831328,0.09498524270603956
ABCF2,6.2230436904906465,-0.5371339427788432,0.05466456933922912,-9.825997886228254,8.700799728685601e-23,3.3767062669449403e-22
ABCF2-H2BK1,0.0,,,,,
ABCF2P1,0.0,,,,,
ABCF2P2,0.0,,,,,
ABCF3,6.877141587043615,-0.5005655849807821,0.04386087315090617,-11.41257683718593,3.6184826275309054e-30,2.0689256014809743e-29
ABCG1,2.789504385891896,-0.4816690546518596,0.07335551901436904,-6.566227887468279,5.1605819453661294e-11,1.172628463282133e-10
ABCG2,0.15127172348486248,-0.12236366068516391,0.24884826355580475,-0.49171996997971257,0.6229173188531938,0.6847962155208652
ABCG4,0.0,,,,,
ABCG5,0.0,,,,,
ABCG8,0.03876119337834984,0.38457763417723595,0.7707443043401813,0.49896915489562405,0.6178011140521806,0.6802355195966843
ABHD1,0.7141932349091036,0.6554634061874824,0.10241618657810818,6.399998165207902,1.5537881878107578e-10,3.4572079904521806e-10
ABHD10,4.334185466650667,-0.7496230634098647,0.058582500888427695,-12.796023591371537,1.7256365418579473e-37,1.5562353248288867e-36
ABHD11,5.481610802123268,0.1036806276862032,0.037779560880699906,2.744357670371165,0.006062943936622176,0.00903657156348846
ABHD12,11.5446880255748,-0.2582815823902239,0.031484114317784556,-8.203552425939685,2.333858131107541e-16,6.613195314691099e-16
ABHD12B,0.002664431277255437,0.5374280984047963,2.8147787110534828,0.19093085232396617,0.8485797681382323,
ABHD13,8.35132794272241,-0.34205888368146964,0.03836191385925343,-8.916627177060413,4.80704647277587e-19,1.5404043211979634e-18
ABHD14A,19.46191629955832,0.19576464932241866,0.030663818910833245,6.384222718366525,1.7227021752190866e-10,3.8267006037856416e-10
ABHD14A-ACY1,0.0018857599567892157,0.5535490034609147,2.9312447420891403,0.18884434844781758,0.8502148121146603,
ABHD14B,30.223433666341645,0.044103231053509155,0.021584834221275627,2.0432508585142486,0.04102761148611739,0.05667015609745051
ABHD15,8.387971626214698,0.15545059013821877,0.038511019355461334,4.03652234451109,5.4249361079389155e-05,9.229956409070209e-05
ABHD15-AS1,0.0,,,,,
ABHD16A,11.099889231424271,-0.32122376734735697,0.035006007622653615,-9.17624685482505,4.463782898180484e-20,1.5076373124190914e-19
ABHD16B,0.0038819425604420562,0.5120410321038766,2.18193434221841,0.2346729790151594,0.8144625617347669,
ABHD17A,155.06496402751768,-0.4757527859028809,0.03331174261630702,-14.281834228329645,2.8402613971477845e-46,5.307693545075031e-45
ABHD17AP1,0.0,,,,,
ABHD17AP3,0.0,,,,,
ABHD17AP4,0.0,,,,,
ABHD17AP5,0.0,,,,,
ABHD17AP6,0.0,,,,,
ABHD17AP7,0.0,,,,,
ABHD17AP8,0.0,,,,,
ABHD17AP9,0.0,,,,,
ABHD17B,5.264108128603367,-0.12684262518244405,0.04893718317122554,-2.5919478188729497,0.009543424553902563,0.014004928100324407
ABHD17C,0.7681286629205178,-1.1616673074152746,0.1271465132560991,-9.136446432278005,6.453817517629136e-20,2.1595128742692412e-19
