featurekey,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
LMTK2,2.9722663662641264,-1.4840369071968198,0.11184828967433845,-13.268302193245832,3.5349923708543905e-40,3.962573452613771e-39
LRP5L,0.5074536458772312,-1.5482711873521777,0.18444386485117456,-8.394267755132208,4.688066920627326e-17,1.3699511470550516e-16
LRRC43,1.1375180997534122,-1.3512816373015892,0.13519027763059002,-9.995405446196301,1.596326331285598e-23,6.438952357587236e-23
LRRC69,0.6901880911455001,1.1437489479112615,0.15072481339791216,7.588325519380637,3.240659617322992e-14,8.387422498341398e-14
LRRC7,1.3435947918597395,1.3531742230227528,0.14115485294495367,9.586452004951271,9.11661598572989e-22,3.3521445030468336e-21
LRRC70,0.48573036935214076,-1.588908977613403,0.21077243106291615,-7.538504773136623,4.7539058448053914e-14,1.222894441311413e-13
LTB4R2,1.397540412933637,-1.6461040977851633,0.14215844514933262,-11.579362000308787,5.243483370279993e-31,3.1544231864483917e-30
LYG2,0.6163106054338573,1.1551847925574483,0.20862482796189147,5.537139581337177,3.074515215239405e-08,6.168669220247258e-08
MACROH2A2,0.924663006230779,1.174232311554895,0.12491467924519756,9.400274800769976,5.4420751080371715e-21,1.9174547689726196e-20
MAML1,7.569217967486067,-1.282471720004586,0.08246252344106658,-15.55217650986789,1.5378931771641533e-54,6.5241140731248255e-53
MANEAL,0.4566947723190001,-1.3616235628013376,0.20748358115593277,-6.562560541973774,5.2891554365304106e-11,1.2007350716515216e-10
MANSC1,1.028197023164237,1.3999038470858713,0.16173297572776002,8.655648860639804,4.901153591962926e-18,1.5027150670435864e-17
MAP2K4,5.8297209071112865,-1.1297583400613775,0.07174859288573515,-15.746069638753749,7.308478844842068e-56,3.632830747016951e-54
MAP3K14,3.5584058425833853,-1.0845067687680172,0.08408786982182702,-12.897303393057385,4.661244815122652e-38,4.374695308687585e-37
MAP3K5-AS2,6.736246696762563,1.110445391278341,0.10059893328335713,11.0383416109448,2.495972608897396e-28,1.2865937019955397e-27
MAPK8IP3,6.0688538550239866,-1.1233200911766654,0.07455457553329797,-15.067084523537552,2.666216349463237e-51,8.03292897288281e-50
MAPKBP1,2.4288717511758686,-1.0643307081142486,0.08360428845740682,-12.730575521332069,3.998806942686734e-37,3.520237739706872e-36
MAPRE2,55.26281096789556,-1.3882388116073856,0.07230263478829353,-19.200390354683925,3.673211571984076e-82,6.778452804650115e-79
MARCHF3,2.162061319471849,-1.2832973541790043,0.1042126041738922,-12.314224026468588,7.594208944160294e-35,5.696814361922684e-34
MATR3-ENSG00000015479,12.412447954976447,-2.021410881414267,0.13467273637900604,-15.00980031864402,6.333809112195238e-51,1.8589666783963876e-49
MBNL2,8.127722621751131,-1.099696653340234,0.06794140417224583,-16.185957101390933,6.335699436502087e-59,4.630392612924768e-57
MCOLN2,2.5265437692509414,-1.2506405957142457,0.12731472703995625,-9.823220178775914,8.943991692149629e-23,3.465620717879396e-22
MCTS2,0.28650179618530813,-1.2054043334484983,0.21424207112864793,-5.626366133870493,1.840454905521234e-08,3.7383923734466124e-08
MDC1-AS1,0.2575805409866673,-1.0696535814880386,0.21182068759043382,-5.049806955382322,4.422567604249407e-07,8.405041908024459e-07
ME3,0.8356656905275403,-1.0642568115649595,0.11822449403482617,-9.001999291715762,2.2164399082889223e-19,7.223245555423699e-19
MED26,3.1998631700160947,-1.0876404172505576,0.0837423414968131,-12.987938930414897,1.4323256267213108e-38,1.4012871588659183e-37
MEG8,1.0292831232935746,1.6439102609715408,0.16065973522991905,10.232248040362771,1.4217995929041846e-24,6.066481904637132e-24
